,Name,Due,Late,Cost,Time,Done,Status,Order
141,§18 Упражнение 18.5,"October 31, 2021",0,274.73,,No,Not started,141
142,§19 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,142
143,§19 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,143
144,§19 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,144
145,§19 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,145
146,§19 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,146
147,§19 Вопрос 6,"October 31, 2021",0,274.73,,No,Not started,147
148,§19 Упражнение 19.1,"October 31, 2021",0,274.73,,No,Not started,148
149,§19 Упражнение 19.2,"October 31, 2021",0,274.73,,No,Not started,149
150,§20 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,150
151,§20 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,151
152,§20 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,152
153,§20 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,153
154,§20 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,154
155,§20 Вопрос 6,"October 31, 2021",0,274.73,,No,Not started,155
156,§20 Упражнение 20.1,"October 31, 2021",0,274.73,,No,Not started,156
157,§20 Упражнение 20.2,"October 31, 2021",0,274.73,,No,Not started,157
158,§20 Упражнение 20.3,"October 31, 2021",0,274.73,,No,Not started,158
159,§20 Упражнение 20.4,"October 31, 2021",0,274.73,,No,Not started,159
160,§21 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,160
161,§21 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,161
162,§21 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,162
163,§21 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,163
164,§21 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,164
165,§21 Вопрос 6,"October 31, 2021",0,274.73,,No,Not started,165
166,§21 Упражнение 21.1,"October 31, 2021",0,274.73,,No,Not started,166
167,§21 Упражнение 21.2,"October 31, 2021",0,274.73,,No,Not started,167
168,§21 Упражнение 21.3,"October 31, 2021",0,274.73,,No,Not started,168
169,§21 Упражнение 21.4,"October 31, 2021",0,274.73,,No,Not started,169
170,§22 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,170
171,§22 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,171
172,§22 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,172
173,§22 Упражнение 22.1,"October 31, 2021",0,274.73,,No,Not started,173
174,§22 Упражнение 22.2,"October 31, 2021",0,274.73,,No,Not started,174
175,§22 Упражнение 22.3,"October 31, 2021",0,274.73,,No,Not started,175
176,§22 Задание 1,"October 31, 2021",0,274.73,,No,Not started,176
177,§22 Проверь себя 1,"October 31, 2021",0,274.73,,No,Not started,177
178,§22 Проверь себя 2,"October 31, 2021",0,274.73,,No,Not started,178
179,§22 Проверь себя 3,"October 31, 2021",0,274.73,,No,Not started,179
180,§22 Проверь себя 4,"October 31, 2021",0,274.73,,No,Not started,180
181,§23 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,181
182,§23 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,182
183,§23 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,183
184,§23 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,184
185,§23 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,185
186,§23 Вопрос 6,"October 31, 2021",0,274.73,,No,Not started,186
187,§23 Вопрос 7,"October 31, 2021",0,274.73,,No,Not started,187
188,§23 Упражнение 23.1,"October 31, 2021",0,274.73,,No,Not started,188
189,§23 Упражнение 23.2,"October 31, 2021",0,274.73,,No,Not started,189
190,§23 Упражнение 23.3,"October 31, 2021",0,274.73,,No,Not started,190
191,§24 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,191
192,§24 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,192
193,§24 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,193
194,§24 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,194
195,§24 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,195
196,§24 Упражнение 24.1,"October 31, 2021",0,274.73,,No,Not started,196
197,§24 Упражнение 24.2,"October 31, 2021",0,274.73,,No,Not started,197
198,§24 Упражнение 24.3,"October 31, 2021",0,274.73,,No,Not started,198
199,§24 Упражнение 24.4,"October 31, 2021",0,274.73,,No,Not started,199
