,Name,Due,Late,Cost,Time,Done,Status,Order
75,§11 Вопрос 5,"October 31, 2021",0,274.73,1,No,Not started,75
76,§11 Упражнение 11.1,"October 31, 2021",0,274.73,1,No,Not started,76
77,§11 Упражнение 11.2,"October 31, 2021",0,274.73,1,No,Not started,77
78,§11 Упражнение 11.3,"October 31, 2021",0,274.73,1,No,Not started,78
79,§11 Упражнение 11.4,"October 31, 2021",0,274.73,1,No,Not started,79
80,§11 Упражнение 11.5,"October 31, 2021",0,274.73,1,No,Not started,80
81,§11 Упражнение 11.6,"October 31, 2021",0,274.73,1,No,Not started,81
82,§12 Вопрос 1,"October 31, 2021",0,274.73,1,No,Not started,82
83,§12 Вопрос 2,"October 31, 2021",0,274.73,1,No,Not started,83
84,§12 Вопрос 3,"October 31, 2021",0,274.73,1,No,Not started,84
85,§12 Вопрос 4,"October 31, 2021",0,274.73,1,No,Not started,85
86,§12 Вопрос 5,"October 31, 2021",0,274.73,1,No,Not started,86
87,§12 Упражнение 12.1,"October 31, 2021",0,274.73,1,No,Not started,87
88,§12 Упражнение 12.2,"October 31, 2021",0,274.73,1,No,Not started,88
89,§12 Упражнение 12.3,"October 31, 2021",0,274.73,1,No,Not started,89
90,§13 Вопрос 1,"October 31, 2021",0,274.73,1,No,Not started,90
91,§13 Вопрос 2,"October 31, 2021",0,274.73,1,No,Not started,91
92,§13 Вопрос 3,"October 31, 2021",0,274.73,1,No,Not started,92
93,§13 Вопрос 4,"October 31, 2021",0,274.73,1,No,Not started,93
94,§13 Вопрос 5,"October 31, 2021",0,274.73,1,No,Not started,94
95,§13 Вопрос 6,"October 31, 2021",0,274.73,1,No,Not started,95
96,§13 Упражнение 13.1,"October 31, 2021",0,274.73,1,No,Not started,96
97,§13 Упражнение 13.2,"October 31, 2021",0,274.73,1,No,Not started,97
98,§13 Упражнение 13.3,"October 31, 2021",0,274.73,1,No,Not started,98
99,§14 Вопрос 1,"October 31, 2021",0,274.73,1,No,Not started,99
